iter	Passed	Remaining
0	1	121
1	2	116
2	3	112
3	4	107
4	5	110
5	6	109
6	8	112
7	9	112
8	11	112
9	12	111
10	14	114
11	15	112
12	16	110
13	17	108
14	18	107
15	20	106
16	21	104
17	22	102
18	23	100
19	24	98
20	25	96
21	26	94
22	27	92
23	28	91
24	29	89
25	30	87
26	31	86
27	32	84
28	33	83
29	34	81
30	35	80
31	36	78
32	37	77
33	39	75
34	39	74
35	40	72
36	43	73
37	44	72
38	45	71
39	47	70
40	48	70
41	49	68
42	51	68
43	53	67
44	54	66
45	56	65
46	58	65
47	59	64
48	61	63
49	62	62
50	63	61
51	65	60
52	66	58
53	67	57
54	67	55
55	68	54
56	70	52
57	71	51
58	72	50
59	73	49
60	74	47
61	76	46
62	77	45
63	78	44
64	80	43
65	81	41
66	82	40
67	83	39
68	84	37
69	85	36
70	85	35
71	86	33
72	88	32
73	88	31
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	20
83	98	18
84	99	17
85	100	16
86	101	15
87	102	14
88	103	12
89	104	11
90	105	10
91	107	9
92	108	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
